filename,width,height,class,xmin,ymin,xmax,ymax
re_brownDie_2.jpg,600,400,brownDie,319.90738,175.5787,377.31482,236.80556
re_partyFavor_5.jpg,600,400,partyFavor,150.11575,193.86574,342.5926,285.5324
re_eyeball_7.jpg,600,400,eyeball,212.38426,157.75462,334.375,278.81943
re_redWhistle_6.jpg,600,400,redWhistle,211.9213,146.18056,410.06946,254.74536
re_lavenderDie_12.jpg,509,600,lavenderDie,10.127616,259.28946,94.99005,344.20502
re_giftBag_1.jpg,600,400,giftBag,95.25463,0.11574074,421.18057,400
re_blueSunglasses_11.jpg,600,470,blueSunglasses,4.349577,314.78394,349.89932,465.64813
re_hairClip_9.jpg,600,400,hairClip,235.06944,164.00462,372.45367,286.4583
re_miniCards_9.jpg,600,400,miniCards,149.65279,46.296295,342.5926,251.27316
re_rubiksCube_9.jpg,600,400,rubiksCube,145.37038,142.24538,332.4074,319.3287
re_rubiksCube_8.jpg,600,400,rubiksCube,183.44908,209.375,310.30093,336.1111
re_miniCards_8.jpg,600,400,miniCards,167.0139,179.86111,378.24075,365.50925
re_hairClip_8.jpg,600,400,hairClip,220.13889,142.82408,374.4213,294.67593
re_blueSunglasses_10.jpg,600,215,blueSunglasses,251.28,11.271611,359.28,81.2995
re_blueSunglasses_7.jpg,600,400,blueSunglasses,241.31944,114.81482,529.74536,339.5833
re_sign_1.jpg,600,400,sign,276.50464,44.907406,429.8611,382.4074
re_eyeball_12.jpg,600,400,eyeball,228.81944,159.60648,380.6713,325.5787
re_eyeball_6.jpg,600,400,eyeball,142.01389,114.81482,302.54633,273.9583
re_redWhistle_7.jpg,600,400,redWhistle,218.63426,140.85648,374.4213,241.20372
re_partyFavor_4.jpg,600,400,partyFavor,269.3287,171.75926,366.66666,328.93518
re_brownDie_3.jpg,600,400,brownDie,211.45833,218.51852,278.93518,281.13425
re_brownDie_1.jpg,600,400,brownDie,228.24074,176.50462,304.05093,252.77777
re_partyFavor_6.jpg,600,400,partyFavor,240.74074,167.93982,410.06946,276.3889
re_redWhistle_5.jpg,600,400,redWhistle,137.15279,173.14815,407.29166,318.86575
re_eyeball_4.jpg,600,400,eyeball,256.71295,151.96759,306.94446,201.15741
re_lavenderDie_11.jpg,447,600,lavenderDie,176.69765,335.55927,304.09015,467.77966
re_eyeball_10.jpg,600,400,eyeball,227.77779,98.37963,345.02313,215.16203
re_yellowBalloon_8.jpg,600,400,yellowBalloon,199.30556,84.953705,450.11572,336.68982
re_redDart_11.jpg,600,400,redDart,190.16203,137.5,476.6204,321.18057
re_cactusPaper_10.jpg,600,400,cactusPaper,118.86574,0.11574074,362.38425,362.73148
re_giftBag_2.jpg,600,400,giftBag,16.550926,109.49074,554.2824,298.49536
re_blueSunglasses_12.jpg,600,400,blueSunglasses,254.8611,140.39352,420.71762,211.6898
re_giftBag_3.jpg,600,400,giftBag,125.115746,73.37963,493.05557,390.16205
re_redDart_10.jpg,600,400,redDart,168.98148,58.333332,449.18982,350.5787
re_cactusPaper_11.jpg,600,400,cactusPaper,77.31482,0.11574074,418.75,359.83795
re_blueSunglasses_4.jpg,600,400,blueSunglasses,172.80092,132.63889,392.2454,307.17593
